0|0|0|0
50|150|0|0
100|250|50|2
200|500|150|2
400|1000|350|2
800|1625|750|2
1225|2145|1550|2
1670|2675|2775|3
2130|3120|4445|3
2600|3585|6575|3
3075|4745|9175|3
4740|6033|12250|3
5837|6653|16990|3
6040|7273|22827|3
6700|7900|28867|3
7367|8540|35567|3
8040|9320|42934|3
8720|9973|50974|3
9407|10633|59694|3
10100|11300|69101|3
10800|12950|79201|3
12945|18760|90001|3
18755|20738|102946|3
19835|21788|121701|4
20925|22868|141536|4
22025|23968|162461|4
23135|25288|184486|4
24255|26428|207621|4
24425|27588|231876|4
25565|28768|256301|4
26725|29968|281866|4
27905|31398|308591|4
29115|32668|336496|4
30355|33968|365611|4
31625|35298|395966|4
32925|36658|427591|4
34255|38248|460516|4
35615|39668|494771|4
37005|41118|530386|4
38425|42608|567391|4
39885|44148|605816|4
41385|45928|645701|4
42925|47548|687086|4
44505|49208|730011|4
46125|50908|774516|4
47785|52648|820641|4
49485|54628|868426|4
51225|56448|917911|4
53005|58318|969136|4
54835|60248|1022141|5
56715|62228|1076976|5
58645|64458|1133691|5
60625|66538|1192336|5
62655|68668|1252961|5
64735|70848|1315616|5
66865|73078|1380351|5
69045|75558|1447216|5
71275|77888|1516261|5
73555|80268|1587536|5
75885|82698|1661091|5
78265|85188|1736976|5
80705|88148|1815241|5
83205|90768|1895946|5
85765|93448|1979151|5
88385|96188|2064916|5
91065|98988|2153301|5
93805|102248|2244366|5
96605|105168|2338171|5
99465|108148|2434776|5
102385|111188|2534241|5
105365|114288|2636626|5
108405|117848|2741991|5
111505|121008|2850396|5
114605|124108|2961901|5
117705|127208|3076506|5
120805|130308|3194211|5
123905|133808|3315016|5
127005|136908|3438921|5
130105|140008|3565926|5
133205|143108|3696031|5
136305|146208|3829236|5
139405|149708|3965541|6
142505|152808|4104946|6
145605|155908|4247451|6
148705|159008|4393056|6
151805|162108|4541761|6
154905|165608|4693566|6
158005|168708|4848471|6
161105|171808|5006476|6
164205|174908|5167581|6
167305|178008|5331786|6
170405|181508|5499091|6
173505|184608|5669496|6
176605|187708|5843001|6
179705|190808|6019606|6
182805|193908|6199311|6
185905|197408|6382116|6
189005|200508|6568021|6
192105|203608|6757026|6
195205|206708|6949131|6
198305|209808|7144336|6
201405|213308|7342641|6
204505|216408|7544046|6
207605|219508|7748551|6
210705|222608|7956156|6
213805|225708|8166861|6
216905|228808|8380666|6
220005|231908|8597571|6
223105|235008|8817576|6
226205|238108|9040681|6
229305|241208|9266886|6
232405|244308|9496191|6
235505|247408|9728596|6
238605|250508|9964101|6
241705|253608|10202706|6
244805|256708|10444411|6
247905|259808|10689216|6
251005|262908|10937121|6
254105|266008|11188126|6
257205|269108|11442231|6
260305|272208|11699436|6
263405|275308|11959741|6
266505|278408|12223146|6
269605|281508|12489651|6
272705|284608|12759256|6
275805|287708|13031961|6
278905|290808|13307766|6
282005|293908|13586671|6
285105|297008|13868676|6
288205|300108|14153781|6
291305|303208|14441986|7
294405|306308|14733291|7
297505|309408|15027696|7
300605|312508|15325201|7
303705|315608|15625806|7
306805|318708|15929511|7
309905|321808|16236316|7
313005|324908|16546221|7
316105|328008|16859226|7
319205|332288|17175331|7
322775|336098|17494536|7
326585|339908|17817311|7
330395|343718|18143896|7
334205|347528|18474291|7
338015|351338|18808496|7
341825|355148|19146511|7
345635|358958|19488336|7
349445|362768|19833971|7
353255|366578|20183416|7
357065|370388|20536671|7
360875|374198|20893736|7
364685|378008|21254611|7
375865|389455|21619296|7
387197|401054|21995161|7
398682|412805|22382358|7
410319|424708|22781040|7
422108|436764|23191359|7
434050|448973|23613467|7
446144|461333|24047517|7
458391|473847|24493661|7
470790|486512|24952052|7
483342|499330|25422842|7
496046|512300|25906184|7
508902|525423|26402230|7
521911|538698|26911132|7
535072|552126|27433043|7
548385|565706|27968115|7
553338|570659|28516500|7
558291|575612|29069838|7
563244|580565|29628129|7
568197|585518|30191373|7
573150|590471|30759570|7
578103|595424|31332720|7
583056|600377|31910823|7
588009|605330|32493879|7
592962|610283|33081888|7
597915|615236|33674850|8
602868|620189|34272765|8
607821|625142|34875633|8
612774|630095|35483454|8
617727|635048|36096228|8
622680|640001|36713955|8
627633|644954|37336635|8
632586|649907|37964268|8
642492|659813|38596854|8
647445|664766|39239346|8
652398|669719|39886791|8
657351|674672|40539189|8
662304|679625|41196540|8
667257|684578|41858844|8
672210|689531|42526101|8
677163|694484|43198311|8
687363|704817|43875474|8
697639|715227|44562837|8
707992|725712|45260476|8
718420|736274|45968468|8
728925|746912|46686888|8
739506|757627|47415813|8
750164|768417|48155319|8
760897|779284|48905483|8
771707|790227|49666380|8
782593|801246|50438087|8
793555|812341|51220680|8
804593|823513|52014235|8
815707|834760|52818828|8
826898|846084|53634535|8
838165|857484|54461433|8
849508|868960|55299598|8
860927|880513|56149106|8
872423|892142|57010033|8
883994|903847|57882456|8
901613|921732|58766450|8
913375|933627|59668063|8
925213|945599|60581438|8
937128|957647|61506651|8
949119|969771|62443779|8
961186|981971|63392898|8
973329|994247|64354084|8
985548|1006600|65327413|8
997844|1019028|66312961|8
1010216|1031533|67310805|8
1022663|1044115|68321021|8
1035188|1056772|69343684|8
1047788|1069506|70378872|8
1060465|1082315|71426660|8
1073217|1095201|72487125|8
1086046|1108164|73560342|8
1098951|1121202|74646388|8
1111933|1134317|75745339|8
1124990|1147507|76857272|8
1138124|1160774|77982262|8
1144601|1167251|79120386|8
1151078|1173728|80264987|8
1157555|1180205|81416065|8
1164032|1186682|82573620|8
1170509|1193159|83737652|8
1176986|1199636|84908161|9
1183463|1206113|86085147|9
1189940|1212590|87268610|9
1196417|1219067|88458550|9
1202894|2389810|89654967|9
2116399|3018451|90857861|9
2735658|3777418|92974260|9
3361393|5477890|95709918|9
4915208|8259583|99071311|9
7411674|11069775|103986519|9
9934048|13908466|111398193|9
12482330|17538185|121332241|9
15683875|21842856|133814571|9
19548398|26190274|149498446|9
23451784|31225598|169046844|9
28031102|37088222|192498628|9
33296068|43007844|220529730|9
38612850|48984463|253825798|9
43981448|58703501|292438648|9
52651984|72087095|336420096|9
